source,target,weight,count
94,6,10000,0
94,7,10000,0
94,8,10000,0
94,9,10000,0
94,10,10000,0
94,38,10000,0
94,41,10000,0
94,48,10000,0
94,72,10000,0
94,73,10000,0
94,89,10000,0
94,96,10000,0
95,75,10000,0
95,90,10000,0
96,2,10000,0
96,3,10000,0
96,6,10000,0
96,7,10000,0
96,8,10000,0
96,9,10000,0
96,10,10000,0
96,40,10000,0
96,46,10000,0
96,92,10000,0
96,94,10000,0
96,101,10000,0
97,0,10000,0
97,1,10000,0
97,35,10000,0
97,44,10000,0
97,57,10000,0
97,70,10000,0
97,75,10000,0
97,90,10000,0
97,91,10000,0
98,29,10000,0
98,49,10000,0
98,52,10000,0
98,55,10000,0
99,24,10000,0
99,25,10000,0
99,26,10000,0
99,27,10000,0
99,100,10000,0
100,24,10000,0
100,71,10000,0
100,99,10000,0
101,3,10000,0
101,40,10000,0
101,46,10000,0
101,92,10000,0
101,96,10000,0
