latitude,longitude,tags,street_name,street_counter
43.7198467,10.396716,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Porta Buozzi', 'oneway': 'yes', 'surface': 'asphalt'}","Via Luca Ghini, Via Porta Buozzi",2
43.7198819,10.3973556,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Luca Ghini', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza Felice Cavallotti, Via Santa Maria, Via Luca Ghini",3
43.7201731,10.3977775,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Piazza Felice Cavallotti', 'name:etymology:wikidata': 'Q2250278', 'oneway': 'yes', 'sidewalk': 'no', 'surface': 'paving_stones'}","Piazza Felice Cavallotti, Via Don Gaetano Boschi",2
43.7180247,10.39365,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'oneway': 'yes', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Risorgimento, Via Magenta",2
43.71779,10.3951959,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'oneway': 'yes', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Risorgimento, Via Roma",2
43.7170109,10.3933401,"{'highway': 'residential', 'name': 'Via Magenta', 'oneway': 'yes'}","Via Magenta, Via Trieste",2
43.7166791,10.3963901,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Santa Maria, Via Trento",2
43.7167786,10.3956664,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Ricucchi, Via Trento",2
43.7168523,10.39526,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Santa Lucia, Via Trento",2
43.7169278,10.3949365,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Trieste, Via Trento, Via Roma",3
43.717472,10.3919227,"{'highway': 'residential', 'maxspeed': '50', 'name': 'Via Trieste', 'name:etymology:wikidata': 'Q546', 'oneway': 'yes', 'surface': 'asphalt'}","Via Trieste, Via Nicola Pisano",2
43.7163698,10.3945476,"{'highway': 'residential', 'lanes': '2', 'lanes:bus:backward': '1', 'lanes:forward': '1', 'maxspeed': '30', 'name': 'Via Enrico Fermi', 'oneway': 'yes', 'oneway:psv': 'no'}","Via Enrico Fermi, Via Roma",2
43.7161567,10.394714,"{'highway': 'residential', 'lanes': '2', 'lanes:bus:backward': '1', 'lanes:forward': '1', 'maxspeed': '30', 'name': 'Via Enrico Fermi', 'oneway': 'yes', 'oneway:psv': 'no'}","Via Enrico Fermi, Via Roma",2
43.7172448,10.3979027,"{'highway': 'residential', 'name': 'Via La Pergola', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza San Giorgio, Via La Pergola",2
43.7176731,10.3978318,"{'highway': 'residential', 'name': 'Via La Pergola', 'oneway': 'yes', 'surface': 'asphalt'}","Via del Collegio Ricci, Via La Pergola",2
43.722343,10.401046,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'motor_vehicle': 'permit', 'name': 'Via San Tommaso', 'oneway': 'yes', 'surface': 'asphalt'}","Via San Tommaso, Via Cardinale Pietro Maffi",2
43.7194963,10.3987961,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Pasquale Paoli', 'name:etymology:wikidata': 'Q152346', 'oneway': 'no'}","Via Pasquale Paoli, Piazza Francesco Buonamici",2
43.7193253,10.388812,"{'cycleway': 'no', 'highway': 'unclassified', 'lit': 'yes', 'maxspeed': 'IT:urban', 'name': 'Via Carlo Francesco Gabba', 'name:etymology:wikidata': 'Q2294066', 'width': '10'}","Via Carlo Francesco Gabba, Via Francesco Traini",2
43.7163187,10.3974748,"{'highway': 'tertiary', 'lanes': '2', 'lanes:psv': '1', 'maxspeed': '50', 'name': 'Lungarno Antonio Pacinotti', 'name:etymology:wikidata': 'Q460747', 'oneway': 'yes', 'sidewalk:left': 'yes', 'sidewalk:right': 'separate', 'surface': 'asphalt', 'wikidata': 'Q55180090'}","Piazza Francesco Carrara, Lungarno Antonio Pacinotti",2
43.7206142,10.3899247,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Largo Lucio Lazzarino', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'diagonal', 'source': 'PCN aerial 2006', 'surface': 'asphalt'}","Largo Lucio Lazzarino, Via Diotisalvi",2
43.7189718,10.3899712,"{'cycleway': 'no', 'highway': 'secondary', 'lanes': '3', 'lanes:backward': '1', 'lanes:forward': '2', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt', 'turn:lanes:forward': 'left|through;right'}","Via Carlo Francesco Gabba, Via Bonanno Pisano, Via Risorgimento",3
43.722951,10.3897496,"{'highway': 'residential', 'name': 'Via Vecchia Barbaricina', 'source': 'PCN aerial 2006;Bing aerial', 'surface': 'asphalt'}","Via Vecchia Barbaricina, N/A",2
43.7167129,10.3973467,"{'highway': 'residential', 'name': 'Piazza Francesco Carrara', 'oneway': 'yes', 'surface': 'asphalt'}","N/A, Piazza Francesco Carrara",2
43.7203357,10.3908775,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Diotisalvi', 'name:etymology:wikidata': 'Q763522', 'oneway': 'no', 'parking:both': 'lane', 'parking:both:fee': 'yes', 'parking:both:orientation': 'diagonal', 'surface': 'asphalt'}","Via Bonanno Pisano, Via Diotisalvi",2
43.7161352,10.3966029,"{'bicycle': 'yes', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Santa Maria', 'name:etymology:wikidata': 'Q345', 'oneway': 'yes', 'oneway:bicycle': 'no', 'short_name': 'Via S. Maria', 'surface': 'asphalt', 'wikidata': 'Q112897476'}","Via Santa Maria, Lungarno Antonio Pacinotti",2
43.7166013,10.3965246,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Niccola', 'oneway': 'yes', 'tunnel': 'building_passage'}","Via San Nicola, Via San Niccola",2
43.7165899,10.396422,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Niccola', 'oneway': 'yes', 'sidewalk': 'both'}","Via San Niccola, Via Santa Maria",2
43.7190682,10.3999712,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Frediano', 'note': 'to_review', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza dei Cavalieri, Via San Frediano",2
43.7220093,10.3983839,"{'cycleway:both': 'no', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'maxspeed:type': 'zone', 'name': 'Via Ferdinando Capponi', 'name:etymology:wikidata': 'Q3742568', 'oneway': 'alternating', 'parking:lane:both': 'no_stopping', 'priority': 'forward', 'sidewalk': 'none', 'surface': 'asphalt'}","Piazza dell'Arcivescovado, Via Ferdinando Capponi",2
43.7222385,10.3977108,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Don Gaetano Boschi', 'name:etymology:wikidata': 'Q3756912', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza dell'Arcivescovado, Via Don Gaetano Boschi",2
43.7166528,10.3969584,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Nicola', 'oneway': 'yes'}","Via San Nicola, Via San Niccola",2
